aufc,normalized_aufc,avg_image_score,pr_name,pr_number,pr_author,timestamp,pr_sha
5.750833654403687,0.8215476649148122,0.8153536339600881,AnomalyMoE Baseline,37,liuzhen19,2025-05-06T21:17:09Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.740091109275818,0.8200130156108312,0.8133742610613505,AnomalyMoE Baseline,38,liuzhen19,2025-05-07T08:51:43Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.699105596542358,0.8141579423631939,0.8102667182683945,commit method,36,wtt5220150,2025-04-28T07:26:56Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.710938976208369,0.8158484251726241,0.8101081639528275,test submit,40,sss123-123,2025-05-09T13:30:24Z,cec5619faedd8cd4bfd6b2511cdda14aaacaae50
5.463604994614919,0.7805149992307026,0.7804300347963969,Add sample submission,8,ashwinvaidya17,2025-04-10T13:43:12Z,111e7c9f3ddc6e7900d74e419cdb8f11a80579c0
5.463604994614919,0.7805149992307026,0.7804300347963969,Copy the sample method,31,liuzhen19,2025-04-14T10:54:09Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.45032125711441,0.7786173224449158,0.7786173224449158,Add sample weights based model,33,ashwinvaidya17,2025-04-16T13:44:30Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.421603393554687,0.7745147705078124,0.7745147705078125,A test submit with random score,35,FantasticGNU,2025-04-21T08:36:03Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.416718518733979,0.7738169312477112,0.7738169312477112,get similar with submit pipeline,34,ISVL119,2025-04-18T07:41:50Z,9c8f3f6f9c982c3db77e306980b2d22ac675f064
5.413010156154633,0.7732871651649476,0.7732871651649476,Test random model,25,djdameln,2025-04-10T13:17:13Z,111e7c9f3ddc6e7900d74e419cdb8f11a80579c0
